Opcode Coverage Matrix
======================

Opcode                           1.05  2.03  2.06  2.07  3.00  3.01  3.05  3.06  3.07  3.08  3.09  3.10  3.11  3.12  3.13  3.14  
STORE_FAST_STORE_FAST             -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓   
CALL                              -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓   
KW_NAMES                          -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    -    -   
CALL_INTRINSIC_1                  -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓   
CALL_INTRINSIC_2                  -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓   
LOAD_FROM_DICT_OR_GLOBALS         -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓   
LOAD_FROM_DICT_OR_DEREF           -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓   
SET_FUNCTION_ATTRIBUTE            -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓   
CALL_KW                           -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓   
EXIT_INIT_CHECK                   -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓   
FORMAT_SIMPLE                     -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓   
FORMAT_WITH_SPEC                  -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓   
NOT_TAKEN                         -    -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓   
POP_ITER                          -    -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓   
BUILD_INTERPOLATION               -    -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓   
BUILD_TEMPLATE                    -    -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓   
LOAD_COMMON_CONSTANT              -    -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓   
LOAD_FAST_BORROW                  -    -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓   
LOAD_FAST_BORROW_LOAD_FAST_BORROW -    -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓   
LOAD_SMALL_INT                    -    -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓   
LOAD_SPECIAL                      -    -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓   
